lexicon,representative,prototypicality,familiarity,valence,arousal
근심걱정,True,1.99,2.53,1.21,2.23
근심하다,False,2.03,2.39,1.21,2.03
긍지,False,2.11,2.32,2.93,1.96
기겁하다,False,2.09,2.24,1.40,2.89
기고만장하다,False,1.90,2.14,1.79,2.81
기껍다,False,1.45,1.26,1.72,1.94
기막히다,False,2.31,2.65,1.36,2.41
기쁘다,True,3.05,3.19,3.03,2.84
기절초풍하다,False,1.97,2.28,1.35,2.94
기죽다,False,2.06,2.54,1.28,1.50
긴장하다,False,2.27,2.76,1.65,2.54
꺼리다,False,1.97,2.22,1.31,2.06
꺼림직하다,False,2.19,2.29,1.25,1.92
께름직하다,False,1.95,2.01,1.22,1.84
끔찍하다,False,2.16,2.65,1.09,2.78
낙,False,2.06,2.06,2.75,2.08
낙담하다,False,1.96,2.19,1.03,1.65
낙망하다,False,1.67,1.76,0.99,1.56
낙심하다,False,1.92,2.04,1.11,1.64
남부끄럽다,False,1.96,2.15,1.36,2.24
남부럽다,False,1.66,2.01,1.72,1.99
낭패스럽다,False,1.60,1.86,1.28,2.36
낯간지럽다,False,2.06,2.19,1.71,2.32
낯뜨겁다,True,2.27,2.42,1.47,2.71
노기,False,1.52,1.44,1.26,2.45
노발대발,False,1.96,2.01,1.07,3.25
노심초사하다,False,2.00,2.15,1.22,2.54
노엽다,False,1.74,1.72,1.26,2.71
노파심,False,1.73,2.14,1.56,2.24
노하다,False,1.99,1.97,1.10,2.94
놀라다,True,2.47,2.84,2.10,2.89
놀랍다,False,2.44,2.85,2.22,2.86
눈물겹다,False,2.26,2.67,1.62,2.05
뉘우치다,False,2.34,2.72,1.89,1.82
달가워하다,False,2.24,2.14,2.36,2.04
담담하다,False,2.21,2.46,1.80,1.38
답답하다,True,2.41,2.83,1.12,1.86
당혹하다,False,2.13,2.31,1.50,2.50
당황하다,False,2.28,2.83,1.56,2.46
덤덤하다,True,2.26,2.40,1.92,1.32
도취하다,False,2.16,2.23,2.60,2.52
동감하다,False,2.54,2.57,2.72,2.14
동경하다,False,2.20,2.24,2.46,1.90
동병상련,False,1.96,2.28,1.96,1.91
동요하다,False,2.00,2.28,1.74,2.26
동정하다,False,2.37,2.73,1.76,1.64
두렵다,False,2.42,2.76,1.24,2.71
들뜨다,False,2.56,2.64,2.54,2.67
따분하다,False,2.31,2.72,1.41,1.32
딱하다,False,2.01,2.19,1.53,2.03
떠름하다,False,1.39,1.40,1.32,1.84
떨떠름하다,False,1.87,1.96,1.36,1.54
떫다,False,1.79,2.02,1.26,2.10
떳떳하다,False,2.63,2.86,2.76,2.11
뜨끔하다,False,2.16,2.42,1.49,2.43
뜨악하다,False,1.54,1.23,1.32,2.79
마땅찮다,False,1.82,2.17,1.26,2.08
막막하다,False,2.13,2.51,1.24,1.79
만족하다,True,2.72,3.02,2.88,2.03
맘놓다,False,2.06,2.40,2.54,1.16
망설이다,True,2.28,2.85,1.51,1.94
망연자실하다,False,1.85,1.86,1.10,1.96
망연하다,False,1.64,1.37,1.36,1.69
매료되다,False,2.39,2.24,2.68,2.39
매혹,False,1.96,2.21,2.47,2.34
맥빠지다,False,2.05,2.37,1.28,1.11
머쓱하다,False,2.00,1.84,1.61,1.68
멋쩍다,False,2.06,2.34,1.72,1.81
모멸,False,1.71,1.72,0.69,2.86
무감동하다,False,1.51,1.96,1.61,1.08
무덤덤하다,False,2.12,2.38,1.82,1.34
무력감,False,1.97,2.19,1.11,1.08
무료하다,False,2.06,2.32,1.47,1.14
무색하다,False,1.79,2.09,1.52,1.42
무섭다,True,2.58,2.97,1.31,2.75
무시무시하다,False,2.06,2.46,1.29,2.64
무안하다,True,2.35,2.74,1.49,1.89
뭉클하다,False,2.40,2.29,2.29,2.11
미안하다,True,2.56,3.04,1.49,2.04
민망하다,False,2.29,2.69,1.46,2.24
밉다,False,2.48,2.86,1.15,2.57
박진감,False,2.03,2.19,2.52,2.76
반감,False,2.16,2.38,1.11,2.79
반갑다,True,2.99,3.14,3.01,2.70
반하다,True,2.44,2.64,2.52,2.36
반항심,False,1.96,2.51,1.31,2.78
발끈하다,False,2.19,2.24,1.31,2.83
배신감,True,2.04,2.51,0.89,2.92
번뇌하다,False,1.59,1.83,1.44,1.88
번민하다,False,1.84,1.95,1.26,1.77
보람차다,True,2.50,2.74,2.90,2.38
부끄럽다,True,2.54,2.87,1.44,2.39
부럽다,True,2.67,2.94,2.04,2.23
부아,False,1.47,1.46,1.16,2.49
분개하다,False,2.10,2.10,1.14,2.87
분노하다,False,2.43,2.61,0.94,3.15
분통,False,1.86,2.01,0.99,2.81
분하다,False,2.34,2.58,1.14,2.76
불만,False,2.24,2.76,1.26,2.51
불만족하다,False,1.94,2.31,1.21,2.04
불쌍하다,False,2.42,2.93,1.51,1.70
불안하다,True,2.39,2.94,1.28,2.49
불쾌하다,False,2.42,2.79,1.09,2.79
불편하다,True,2.18,2.86,1.29,2.27
불행하다,True,2.22,2.81,1.10,2.14
비련,False,1.79,1.90,1.40,1.83
비분강개하다,False,1.68,1.41,1.43,2.89
비애,False,1.86,2.03,1.39,2.25
비장하다,True,2.15,2.16,1.71,2.66
비참하다,True,2.31,2.64,0.97,2.24
비탄하다,False,1.78,1.49,1.08,2.56
비통하다,False,1.89,1.78,0.92,2.60
뼈아프다,False,1.78,1.91,1.14,2.64
뾰로통하다,False,1.90,1.90,1.39,1.91
뿌듯하다,True,2.71,2.71,2.94,2.36
사랑스럽다,True,2.94,3.12,3.11,2.31
사모하다,False,2.27,2.28,2.61,2.24
사무치다,True,2.10,2.17,1.27,2.46
살맛나다,False,2.35,2.51,2.94,2.64
상실감,True,2.14,2.21,1.17,1.61
상심하다,False,1.99,2.23,1.16,1.79
상쾌하다,False,2.81,2.99,3.06,2.64
상큼하다,True,2.53,2.59,2.86,2.21
샐쭉하다,False,1.64,1.35,1.44,1.72
샘내다,True,2.36,2.51,1.40,2.54
서글프다,False,2.41,2.54,1.19,1.94
서러워하다,False,2.36,2.74,1.23,2.06
서럽다,True,2.53,2.66,1.28,2.21
서먹하다,True,2.12,2.51,1.36,1.84
서운하다,False,2.39,2.94,1.45,1.62
선뜩하다,False,1.63,1.59,1.47,2.39
선호하다,False,2.14,2.53,2.46,2.24
설레다,True,2.81,2.70,2.66,2.69
설워하다,False,1.68,1.64,1.31,2.06
섬뜩하다,False,2.27,2.31,1.11,2.76
섭섭하다,False,2.50,2.93,1.26,1.96
성나다,False,2.19,2.51,1.19,3.11
성내다,False,2.22,2.51,1.40,2.99
성취감,False,2.31,2.55,2.98,2.81
소름끼치다,False,2.36,2.64,1.20,2.99
소외감,False,1.99,2.49,1.10,1.53
속상하다,True,2.39,2.91,1.19,2.29
속시원하다,False,2.65,2.76,2.77,2.11
속타다,True,2.24,2.43,1.28,2.51
송구하다,False,1.58,1.67,1.56,1.86
송연하다,False,1.29,0.97,1.69,1.56
수심,False,1.60,1.49,1.32,1.74
수치,False,2.04,2.25,1.10,2.43
숙연하다,False,1.78,1.85,1.84,1.50
순정,False,2.09,2.39,2.56,1.67
스산하다,False,1.56,1.54,1.46,1.90
슬프다,True,2.59,2.99,1.37,1.76
시기하다,False,2.08,2.44,1.29,2.35
시름겹다,False,1.29,1.44,1.22,1.61
시무룩하다,False,2.18,2.51,1.38,1.34
시원섭섭하다,False,2.40,2.53,1.99,1.84
시큰둥하다,False,2.10,2.41,1.47,1.61
식상하다,False,2.06,2.35,1.52,1.59
신경질,False,2.16,2.67,1.06,2.81
신나다,False,2.96,2.94,3.04,3.01
신명나다,False,2.40,2.11,2.86,2.74
신물나다,False,1.90,2.22,1.12,2.01
신바람나다,False,2.64,2.49,2.92,2.91
실망하다,True,2.36,2.89,1.11,1.69
실의,False,1.65,1.81,1.18,1.84
싫다,True,2.56,2.90,1.14,2.43
싫증나다,True,2.27,2.89,1.25,2.01
심드렁하다,False,1.63,1.39,1.43,1.69
심란하다,True,2.37,2.64,1.32,2.04
심려하다,False,1.66,1.86,1.41,1.92
심심하다,False,2.26,2.94,1.69,1.36
심통,False,1.83,1.95,1.74,2.39
싱숭생숭하다,False,2.11,2.51,1.58,1.72
쑥스럽다,False,2.35,2.78,1.76,1.81
쓸쓸하다,False,2.47,2.76,1.29,1.43
씁쓸하다,False,2.22,2.42,1.35,1.57
아니꼽다,False,2.16,2.39,1.13,2.19
아련하다,False,2.21,2.11,2.06,1.59
아리다,False,1.76,1.61,1.71,1.90
아쉽다,True,2.65,2.98,1.56,1.81
아슬아슬하다,False,2.01,2.61,1.69,2.65
아연실색하다,False,1.79,1.71,1.35,2.42
아연하다,False,1.53,1.29,1.48,1.65
아찔하다,False,2.16,2.47,1.28,2.86
안달복달하다,False,1.74,1.88,1.40,2.86
안달하다,False,1.94,2.15,1.29,2.51
안도하다,False,2.34,2.39,2.44,1.03
안락하다,False,2.33,2.29,2.76,0.97
안심,False,2.27,2.56,2.55,1.22
안쓰럽다,False,2.35,2.60,1.51,1.71
안정되다,False,2.46,2.81,2.61,1.18
안타깝다,True,2.46,2.84,1.51,1.79
암담하다,False,2.14,2.31,0.91,1.70
암울하다,False,1.94,2.24,1.01,1.69
애,False,1.71,1.78,2.36,2.04
애끓다,False,2.05,1.95,1.50,2.72
애달프다,False,2.15,2.13,1.51,2.05
애닯다,False,1.88,1.81,1.60,1.98
애도하다,False,1.91,2.12,1.51,1.69
애련,False,1.79,1.72,1.78,2.04
애석하다,False,1.99,2.17,1.36,1.93
애수,False,1.89,1.85,2.01,1.89
애잔하다,False,1.97,1.73,1.76,1.54
애정,False,2.35,2.79,2.72,2.21
애증,False,1.68,1.78,1.39,2.01
애지중지하다,False,2.17,2.29,2.46,2.26
애착,False,1.90,2.28,2.15,2.31
애처럽다,False,1.98,2.04,1.54,1.86
애타다,False,2.24,2.36,1.25,2.59
애통하다,False,1.97,1.99,1.06,2.46
애틋하다,True,2.46,2.38,2.25,2.12
애환,False,1.79,1.83,1.53,1.94
야속하다,False,1.94,2.24,1.21,2.33
약오르다,True,2.26,2.75,1.34,2.56
얄밉다,False,2.51,2.79,1.16,2.54
어이없다,False,2.10,2.64,1.47,1.95
어처구니없다,False,2.23,2.64,1.37,2.06
억울하다,True,2.44,2.76,0.97,2.25
언짢다,False,2.15,2.36,1.28,2.11
여한,False,1.62,1.60,1.61,1.85
역겹다,True,2.39,2.51,0.85,2.61
역정,False,1.71,1.90,1.54,2.64
연모하다,False,1.88,1.78,2.27,2.08
연민,False,2.24,2.29,1.97,1.71
연연하다,False,1.67,1.97,1.53,1.78
연정,False,2.03,2.06,2.51,1.85
열광하다,True,2.49,2.35,2.81,3.40
열등감,True,2.06,2.56,0.95,2.48
열애,False,1.98,2.17,2.59,2.92
열정,False,2.44,2.64,2.81,2.93
염려하다,False,2.11,2.53,1.41,2.01
영광스럽다,False,2.55,2.56,3.06,2.65
영예롭다,False,1.97,1.99,2.69,2.36
온정,False,2.04,2.05,2.61,1.58
외롭다,True,2.56,2.89,1.16,1.41
우려하다,False,1.89,2.30,1.32,2.01
우수,False,1.89,1.92,2.19,1.72
우습다,True,2.28,2.91,1.90,2.26
우울하다,True,2.52,2.96,1.27,1.43
우쭐하다,False,2.05,2.24,1.76,2.18
울분,False,2.03,2.11,1.21,2.93
울적하다,False,2.20,2.32,1.31,1.34
울화,False,1.74,2.00,0.96,2.81
울화통,False,1.91,2.11,0.66,3.03
원망하다,False,2.24,2.67,0.95,2.36
원통하다,False,2.06,2.11,0.94,2.66
원한,False,1.90,2.22,0.96,2.86
위압감,False,1.85,2.08,1.19,2.54
위축감,False,1.69,1.90,1.30,1.87
위화감,False,1.72,2.00,1.35,2.33
유감,False,2.10,2.44,1.39,2.12
유쾌하다,True,2.61,2.81,2.85,2.74
음울하다,False,1.66,1.71,1.06,1.57
의기소침하다,False,2.10,2.35,1.28,1.42
의기양양하다,False,2.38,2.42,2.51,2.67
의분,False,1.45,1.29,1.72,2.24
의심,True,2.09,2.56,1.19,2.19
의아하다,False,1.69,1.76,1.69,2.09
의혹,False,1.71,2.25,1.39,2.30
이뻐하다,False,2.41,2.82,2.76,2.19
자괴,False,1.54,1.45,1.16,1.95
자긍,False,2.01,2.03,2.74,2.29
자기혐오,False,1.62,1.89,0.96,2.45
자랑스럽다,True,2.58,2.83,2.92,2.54
자만심,False,2.06,2.49,1.36,2.42
자부하다,False,2.11,2.33,2.56,2.05
자신만만하다,False,2.54,2.91,2.69,2.71
자족하다,False,2.04,2.03,2.61,1.99
자책하다,False,1.95,2.24,1.14,2.14
재미있다,True,2.91,3.16,2.92,2.44
적의,False,1.69,1.89,1.02,2.49
적적하다,False,1.99,1.89,1.50,1.71
전전긍긍,False,1.71,2.11,1.38,2.24
절망하다,True,2.14,2.58,0.97,1.97
절박감,False,2.11,2.31,1.16,2.69
절절하다,False,1.71,1.61,1.37,2.11
정감,False,2.54,2.20,2.84,1.76
정겹다,True,2.69,2.67,2.84,2.05
정답다,False,2.56,2.63,2.71,2.03
정욕,False,1.81,2.09,1.90,3.01
정한,False,1.54,1.24,1.71,1.94
조마조마하다,False,2.33,2.51,1.51,2.69
조바심,False,2.06,2.16,1.43,2.66
좋다,True,3.01,3.12,2.83,2.61
좌절하다,False,1.95,2.56,0.96,1.89
죄송스럽다,False,2.26,2.84,1.36,1.99
죄스럽다,False,1.86,1.89,1.12,2.01
죄의식,False,1.76,2.26,1.04,2.10
죄책감,True,2.08,2.46,1.09,2.08
주눅들다,True,2.14,2.35,1.17,1.42
즐겁다,True,2.99,3.11,3.01,2.83
즐기다,False,2.41,3.03,2.84,2.62
증오하다,True,2.31,2.64,0.89,2.99
지겹다,True,2.43,2.86,1.28,1.64
지긋지긋하다,False,2.21,2.61,1.07,2.06
지루하다,False,2.41,2.84,1.35,1.09
지리하다,False,1.62,1.60,1.49,1.56
진노하다,False,1.56,1.64,1.01,2.74
진저리나다,False,2.01,2.25,1.06,2.39
질겁하다,False,1.76,1.91,1.25,2.76
질리다,False,2.22,2.56,1.17,2.01
질색하다,False,1.90,2.21,1.14,2.59
질투하다,False,2.28,2.74,1.31,2.68
짜증내다,False,2.41,2.99,1.05,2.49
짝사랑하다,False,2.19,2.76,2.19,2.25
찡하다,False,2.50,2.53,2.09,2.39
착잡하다,False,2.13,2.29,1.44,1.44
참담하다,True,2.06,2.17,0.78,1.66
창피하다,True,2.43,2.90,1.29,2.14
처량하다,False,2.17,2.35,1.28,1.44
처연하다,False,1.47,1.20,1.46,1.56
처절하다,False,2.03,2.39,0.96,2.22
처참하다,False,2.21,2.32,0.84,2.29
체념하다,False,2.08,2.34,1.26,1.61
초조하다,True,2.39,2.77,1.40,2.49
충족감,False,2.17,2.34,2.69,2.11
측은하다,False,2.13,2.31,1.56,1.74
치떨리다,False,1.92,2.04,0.92,2.86
치욕스럽다,False,2.14,2.35,0.81,2.99
친애하다,False,2.01,2.15,2.53,2.06
침울하다,False,1.87,2.06,1.04,1.46
침통하다,False,1.91,1.90,1.01,2.25
켕기다,False,1.86,2.06,1.32,2.29
코웃음,False,1.71,2.39,1.46,2.00
쾌감,False,2.71,2.63,2.96,3.01
태평스럽다,False,1.95,2.26,2.32,1.25
토라지다,False,2.14,2.33,1.38,2.22
통분,False,1.49,1.28,1.29,2.81
통쾌하다,True,2.56,2.78,2.96,2.91
통탄하다,False,1.85,1.61,0.94,2.74
통한,False,1.59,1.56,1.10,2.52
패배감,False,2.02,2.41,0.83,2.14
편안하다,True,2.79,3.04,2.76,1.19
편하다,False,2.67,3.06,2.83,1.38
평안하다,False,2.45,2.44,2.87,1.05
평온하다,False,2.48,2.54,2.79,1.26
평화롭다,True,2.53,2.74,2.86,1.14
풀죽다,False,1.86,2.17,1.28,1.37
한,False,1.97,2.26,1.20,2.39
한맺히다,True,2.04,2.26,0.81,2.60
한스럽다,False,2.00,1.84,1.16,2.11
한탄하다,False,1.93,1.91,1.03,2.58
행복하다,True,3.00,3.10,3.14,2.40
향수,False,2.19,2.31,2.54,1.31
허망하다,False,2.02,2.20,1.08,1.46
허무하다,True,2.24,2.70,1.16,1.49
허전하다,False,2.30,2.69,1.49,1.29
허탈하다,False,2.22,2.54,1.36,1.64
허허롭다,False,1.47,1.37,1.56,1.56
혐오하다,False,2.22,2.57,0.92,2.84
호감,False,2.86,2.71,2.92,2.56
혼비백산하다,False,1.76,1.94,1.19,3.05
홀가분하다,True,2.91,2.64,3.19,1.66
화나다,True,2.48,2.89,1.11,3.01
환멸,False,1.78,1.71,0.87,2.86
환희,False,2.29,2.40,2.92,2.83
황공하다,False,1.79,1.87,2.17,2.33
황당하다,True,2.42,2.82,1.69,2.51
황송하다,False,1.85,1.83,2.08,2.14
황홀하다,True,2.71,2.64,2.92,2.62
회개,False,1.63,1.89,1.99,1.83
회오,False,1.20,0.86,1.85,2.09
회한,False,1.67,1.74,1.27,2.25
후련하다,False,2.78,2.71,2.72,1.84
후회하다,True,2.42,2.97,1.25,2.07
흐뭇하다,False,2.69,2.79,2.79,1.96
흠모하다,False,2.11,2.10,2.52,2.21
흡족하다,False,2.50,2.50,2.94,2.11
흥겹다,False,2.81,2.60,2.92,2.81
흥나다,False,2.41,2.31,2.81,3.06
흥미롭다,False,2.58,2.97,2.84,2.43
흥미진진하다,False,2.59,2.86,2.76,2.66
흥분,False,2.51,2.86,2.26,3.07
흥취,False,1.74,1.56,2.40,2.59
희,False,1.86,1.64,2.66,2.35
희비,False,1.92,2.08,1.94,2.35
희열,False,2.29,2.26,2.71,2.78
희희낙락하다,False,2.12,2.13,2.40,2.45
